feature,importance
power_to_torque_ratio_2,0.024184443
motor_power_diff_2_1,0.020467341
motor_power_ratio_2_1,0.018700136
speed_power_ratio_5,0.01634532
speed_power_ratio_3,0.016030747
speed_power_ratio_4,0.014369172
force_ratio_2_1,0.013876424
force_diff_2_1,0.012451809
speed_power_ratio_1,0.012394523
force_4_z_recent_60,0.011186058
force_3,0.011105899
reduction_4_roll_std_30,0.010466717
torque_ratio_2_1,0.010167966
force_ratio_5_4,0.009738768
force_diff_4_3,0.008943722
motor_power_ratio_5_4,0.008289491
force_5,0.008074013
force_ratio_4_3,0.0075802593
motor_power_ratio_3_2,0.0071366015
motor_power_3_ewm_60,0.006685261
torque_1_slope_10,0.0064890753
reduction_1_z_recent_60,0.005986154
reduction_diff_2_1,0.00590384
tension_3_z_recent_60,0.0057887775
torque_5_roll_std_60,0.0057303254
force_4,0.0056791
power_to_torque_ratio_1,0.0056663584
mileage_norm_1,0.0055540367
tension_5_roll_std_60,0.0054309196
force_5_z_recent_60,0.00540668
torque_1_ewm_10,0.0052630524
motor_power_diff_5_4,0.0051943017
gap_1_roll_mean_30,0.0050629755
gap_2_z_recent_60,0.0050378945
reduction_2_roll_mean_60,0.004908133
force_4_roll_std_30,0.004769815
reduction_3_roll_std_30,0.004768793
force_2_roll_std_30,0.004720698
motor_power_3_roll_std_30,0.004720617
tension_4_z_recent_60,0.0046939203
force_3_roll_std_60,0.0046204994
motor_power_diff_3_2,0.0045525967
reduction_4_roll_std_60,0.00449009
reduction_5_roll_mean_60,0.0043306923
torque_1_roll_mean_10,0.0042741536
motor_power_3_slope_60,0.004249153
gap_5,0.004143591
torque_3_z_recent_30,0.0040814597
force_4_roll_std_60,0.00406452
force_3_ewm_10,0.0040536947
roll_speed_2_roll_std_60,0.0040402682
roll_speed_1_roll_std_30,0.0039703758
torque_4_roll_std_30,0.0039546774
work_roll_mileage_3,0.003949713
gap_4_roll_mean_10,0.0038162444
motor_power_2_roll_std_30,0.0037224386
force_1_roll_mean_30,0.003660728
roll_speed_5_roll_std_30,0.0036023867
force_4_roll_std_10,0.0035993357
force_per_reduction_4,0.0035223565
tension_0_z_recent_60,0.0034857108
torque_2_z_recent_30,0.0034854726
gap_2_roll_mean_10,0.0034742274
motor_power_diff_4_3,0.0034711654
motor_load_index_1,0.0034708213
reduction_ratio_3_2,0.003464832
reduction_2_roll_std_30,0.0034479836
reduction_ratio_4_3,0.0034457461
work_roll_mileage_1,0.0034060602
gap_1_roll_std_60,0.0033726464
torque_3_roll_mean_60,0.0033558272
force_per_reduction_1,0.0032969282
mileage_norm_3,0.0032758084
reduction_3_roll_mean_60,0.0032573238
roll_speed_4_roll_std_30,0.0032366663
mileage_norm_2,0.0031697645
work_roll_diam_3,0.0031407548
force_diff_5_4,0.003129366
reduction_3_roll_std_60,0.0030598927
