feature,psi_train_vs_drift,drift_level
force_3_ewm_60,12.432495398432584,high
force_2_roll_mean_60,12.432495398432584,high
force_2_ewm_30,12.432495398432584,high
force_5_roll_std_60,12.432495398432584,high
force_2_ewm_60,12.432495398432584,high
force_1_roll_mean_60,12.432495398432584,high
force_1_ewm_30,12.432495398432584,high
force_1_ewm_60,12.432495398432584,high
force_1_roll_mean_30,12.040845470097736,high
force_3_roll_std_60,12.040845470097736,high
force_4_roll_std_60,11.878166906184244,high
force_2_roll_mean_30,11.829982580116546,high
force_3_roll_mean_60,11.81782290419018,high
tension_3_ewm_60,11.76454978245531,high
force_5_roll_mean_60,11.76454978245531,high
tension_2_ewm_60,11.75774386807852,high
tension_1_ewm_60,11.75133241673628,high
tension_0_ewm_60,11.75133241673628,high
tension_4_ewm_60,11.745270481572291,high
motor_power_1_ewm_60,11.72883300153408,high
motor_power_1_roll_mean_60,11.72883300153408,high
torque_3_roll_mean_60,11.71006699257604,high
torque_5_ewm_60,11.693926125355457,high
tension_5_ewm_60,11.347870526697216,high
torque_3_ewm_60,11.337183130958017,high
tension_0_roll_mean_60,11.31841713300916,high
tension_1_roll_mean_60,11.207656468931502,high
tension_2_roll_mean_60,11.18519217183264,high
tension_3_roll_mean_60,11.178369789965565,high
torque_4_roll_mean_60,11.17011568702221,high
tension_4_roll_mean_60,11.168971912058929,high
tension_5_roll_mean_60,11.064769708846823,high
torque_5_roll_mean_60,11.037737381369583,high
torque_1_roll_mean_60,10.713665655756458,high
force_1_ewm_10,10.71315650618317,high
force_2_ewm_10,10.54464714579005,high
force_per_reduction_4,10.502049996138329,high
torque_4_ewm_60,10.497962159412582,high
ys_exit,10.451250060618635,high
force_4_ewm_60,10.409063944432525,high
force_per_reduction_3,10.274309083547285,high
force_3_ewm_30,9.992801144294392,high
force_per_reduction_5,9.945869732873044,high
force_1_roll_mean_10,9.884804238333343,high
force_per_reduction_1,9.801722317654566,high
force_per_reduction_2,9.72275012576366,high
motor_power_1_ewm_30,9.689510531558245,high
force_5_ewm_60,9.621092415157415,high
torque_1_ewm_60,9.596828866398454,high
force_2_roll_mean_10,9.246297809184357,high
motor_power_1_roll_mean_30,9.213614775639256,high
force_4_roll_mean_60,9.069964667459992,high
torque_3_ewm_30,8.9860323828059,high
force_3_roll_mean_30,8.894374891814177,high
tension_1_ewm_30,8.874842518797305,high
tension_0_ewm_30,8.860010305641365,high
tension_2_ewm_30,8.849458467037532,high
tension_3_ewm_30,8.846880764439414,high
tension_4_ewm_30,8.833588371699387,high
tension_5_ewm_30,8.81216758886141,high
torque_5_ewm_30,8.29734285988305,high
reduction_4_ewm_60,8.246607372870788,high
