timestamp_index,dominant_fault,active_faults,rul_urgency_band,case_id
53,anomaly_workroll_4,anomaly_workroll_4,immediate,CASE_000053
54,anomaly_workroll_4,anomaly_workroll_4,immediate,CASE_000054
55,anomaly_workroll_4,anomaly_workroll_4,immediate,CASE_000055
56,anomaly_workroll_4,anomaly_workroll_4,immediate,CASE_000056
57,anomaly_electric_3,"anomaly_electric_3,anomaly_workroll_4",immediate,CASE_000057
58,anomaly_electric_3,"anomaly_electric_3,anomaly_workroll_4",immediate,CASE_000058
59,anomaly_electric_3,"anomaly_electric_3,anomaly_workroll_4",immediate,CASE_000059
60,anomaly_electric_3,anomaly_electric_3,immediate,CASE_000060
61,anomaly_electric_3,anomaly_electric_3,immediate,CASE_000061
62,anomaly_electric_3,anomaly_electric_3,immediate,CASE_000062
63,anomaly_electric_3,anomaly_electric_3,immediate,CASE_000063
88,anomaly_reduction,anomaly_reduction,immediate,CASE_000088
146,anomaly_reduction,anomaly_reduction,immediate,CASE_000146
190,anomaly_electric_3,anomaly_electric_3,immediate,CASE_000190
191,anomaly_electric_3,anomaly_electric_3,immediate,CASE_000191
192,anomaly_electric_3,anomaly_electric_3,immediate,CASE_000192
193,anomaly_electric_3,anomaly_electric_3,immediate,CASE_000193
194,anomaly_electric_3,anomaly_electric_3,immediate,CASE_000194
195,anomaly_electric_3,anomaly_electric_3,immediate,CASE_000195
435,anomaly_reduction,anomaly_reduction,immediate,CASE_000435
471,anomaly_electric_4,anomaly_electric_4,immediate,CASE_000471
472,anomaly_electric_4,anomaly_electric_4,immediate,CASE_000472
473,anomaly_electric_4,anomaly_electric_4,immediate,CASE_000473
479,anomaly_reduction,anomaly_reduction,immediate,CASE_000479
820,anomaly_electric_1,anomaly_electric_1,immediate,CASE_000820
821,anomaly_electric_1,"anomaly_reduction,anomaly_electric_1",immediate,CASE_000821
822,anomaly_electric_1,anomaly_electric_1,immediate,CASE_000822
823,anomaly_electric_1,anomaly_electric_1,immediate,CASE_000823
824,anomaly_electric_1,anomaly_electric_1,immediate,CASE_000824
825,anomaly_electric_1,anomaly_electric_1,immediate,CASE_000825
881,anomaly_reduction,anomaly_reduction,immediate,CASE_000881
895,anomaly_reduction,anomaly_reduction,immediate,CASE_000895
927,anomaly_reduction,anomaly_reduction,immediate,CASE_000927
